country,new_cases,tests_done,population,testing_rate,positivity_rate,Week,deaths,weekly_cfr,population_ce,testing_rate_ce,tests_done_ce,new_cases_ce,deaths_ce,positivity_rate_ce
Croatia,0,8,4076246,0.19625900899999998,0.0,7,0,0.0,-0.5776028831239618,-0.7015637083232898,-0.49581640134977717,-0.37150327402710975,-0.2739601080158339,-0.6346514130703844
Croatia,0,6,4076246,0.147194257,0.0,8,0,0.0,-0.5776028831239618,-0.7016026808984215,-0.49582483460114196,-0.37150327402710975,-0.2739601080158339,-0.6346514130703844
Croatia,5,173,4076246,4.244101068,2.89017341,9,0,0.0,-0.5776028831239618,-0.6983484708598348,-0.49512065811217976,-0.3710463746799346,-0.2739601080158339,-0.13023121320463027
Croatia,7,134,4076246,3.287338399,5.223880597,10,0,0.0,-0.5776028831239618,-0.699108436078874,-0.49528510651379365,-0.37086361494106457,-0.2739601080158339,0.27706927666275344
Croatia,25,511,4076246,12.53604419,4.8923679060000005,11,0,0.0,-0.5776028831239618,-0.691762105635575,-0.4936954386315256,-0.36921877729123403,-0.2739601080158339,0.21921056919777343
Croatia,169,1959,4076246,48.0589248,8.626850434,12,0,0.0,-0.5776028831239618,-0.6635459611115637,-0.4875897646433979,-0.3560600760925899,-0.2739601080158339,0.8709875237054707
Croatia,451,4211,4076246,103.3058358,10.71004512,13,5,0.011086474501108648,-0.5776028831239618,-0.6196628413163081,-0.47809392360661374,-0.3302909529119117,-0.2671517470619485,1.2345662197918752
Croatia,469,6382,4076246,156.5656244,7.3487934820000005,14,7,0.014925373134328358,-0.5776028831239618,-0.5773581107694041,-0.4689396292501046,-0.32864611526208115,-0.26442840268039436,0.6479290245382335
Croatia,408,8856,4076246,217.25872290000004,4.60704607,15,9,0.022058823529411766,-0.5776028831239618,-0.5291490351122918,-0.45850769731182567,-0.33422028729761794,-0.26170505829884017,0.16941352344155214
Croatia,298,9100,4076246,223.24462259999999,3.274725275,16,18,0.06040268456375839,-0.5776028831239618,-0.5243943809811771,-0.45747884064531796,-0.34427207293547113,-0.24945000858184643,-0.06311561109892527
